1	1	1	0.976	0.6	69.5
1	1	1	4.489	64.9	27
1	1	1	3.031	244.5	49.7
1	1	1	6.261	331.3	51.4
1	1	1	3.117	281.8	52.3
1	1	1	4.458	50.7	14.6
1	1	1	1.937	327.8	38.1
1	1	1	2.215	6.5	64.9
1	1	1	2.375	196	75.4
1	1	1	1.879	89	18.4
1	1	1	2.101	324.6	23.3
1	1	1	1.857	333	45.2
1	1	1	7.887	75.4	6
1	1	1	6.301	338.2	59.1
1	1	1	5.896	319.8	47.2
1	1	1	3.762	283.9	51.3
1	1	1	5.02	332.1	63.8
1	1	1	2.641	339.1	43.9
1	1	1	2.126	322.9	27.2
1	1	1	2.739	297.9	26
1	1	1	4.098	319.1	49.7
1	1	1	3.205	319.9	50.1
1	1	1	2.53	197.4	20.8
1	1	1	1.509	183.8	25.5
1	1	1	3.512	198.4	23.5
1	1	1	1.271	53.9	50.7
1	1	1	3.02	210.6	16.7
1	1	1	1.502	259	27.6
1	1	1	6.344	262.7	63.7
1	1	1	4.092	261.4	52.5
1	1	1	2.23	253.2	43.1
1	1	1	2.158	190.6	25.6
1	1	1	3.405	295.8	49.3
1	1	1	2.977	310.2	48.7
1	1	1	3.521	116.9	37.3
1	1	1	1.986	350.8	44.8
1	1	1	3.824	127	11.9
1	1	1	4.145	309.9	62.2
1	1	1	2.565	6.6	53.8
1	1	1	2.726	191.5	70.8
1	1	1	5.411	207.8	74.6
1	1	1	2.914	201.6	23.7
1	1	1	5.084	205.6	73.1
1	1	1	4.295	218.2	69.9
1	1	1	1.262	313.2	41.9
1	1	1	2.373	2	82
1	1	1	1.531	334.1	64.4
1	1	1	6.557	337.3	65.1
1	1	1	3.544	309.5	51.3
1	1	1	2.543	349.5	88.2
1	1	1	10.442	335.8	65.2
1	1	1	4.749	330.3	52.6
1	1	1	3.101	241.1	47
1	1	1	2.98	347	49.9
1	1	1	2.462	6.5	81.6
1	1	1	2.586	322.3	36.3
1	1	1	1.997	154.3	48.4
1	1	1	1.735	336	73
1	1	1	1.494	10.6	67.1
1	1	1	1.61	268.7	38.1
1	1	1	2.556	328.4	71.7
1	1	1	2.004	310.2	51.5
1	1	1	2.737	295.8	50.7
1	1	1	0.558	43.7	67.3
1	1	1	0.317	4.7	86.7
1	1	1	1.525	125.5	20.7
1	1	1	0.81	207.2	23.4
1	1	1	2.553	316.6	43.2
1	1	1	0.925	9.2	71.8
1	1	1	0.91	250.3	55.1
1	1	1	0.85	313.5	54.8
1	1	1	1.089	266.4	22
1	1	1	0.997	298.3	41.5
1	1	1	0.524	235.3	53.9
1	1	1	0.745	332.1	39.5
1	1	1	1.015	264.7	57.5
1	1	1	0.728	237.1	52.6
1	1	1	2.195	296.9	24.1
1	1	1	1.469	342	17.4
1	1	1	1.102	318.5	27.6
1	1	1	3.664	192.8	38.9
1	1	1	0.608	28.6	57.5
1	1	1	1.764	207.6	23.1
1	1	1	3.291	220.6	14.4
1	1	1	3.838	25	35.3
1	1	1	2.74	208.9	22.9
1	1	1	1.822	207	76.5
1	1	1	1.302	269.5	40.8
1	1	1	1.085	331.9	43.7
1	1	1	0.961	213.5	86
1	1	1	2.615	23.2	45.4
1	1	1	2.002	323.9	47.4
1	1	1	2.473	317.4	57.8
1	1	1	1.204	271.2	28.5
1	1	1	0.845	316.6	36.5
1	1	1	1.22	224.4	70.1
1	1	1	2.279	334	35.2
1	1	1	1.72	334.5	59.3
1	1	1	1.373	347.2	52.9
1	1	1	1.739	311.3	42.1
1	1	1	2.094	344.1	11.4
1	1	1	4.481	304.3	18.2
1	1	1	3.746	310.8	57.4
1	1	1	2.803	231.6	46.9
1	1	1	1.773	5.3	45.1
1	1	1	1.918	353.1	16
1	1	1	2.854	317.8	24.4
1	1	1	2.15	225.3	26.2
