0.6	69.5
64.9	27
244.5	49.7
331.3	51.4
281.8	52.3
50.7	14.6
327.8	38.1
6.5	64.9
196	75.4
89	18.4
324.6	23.3
333	45.2
75.4	6
338.2	59.1
319.8	47.2
283.9	51.3
332.1	63.8
339.1	43.9
322.9	27.2
297.9	26
319.1	49.7
319.9	50.1
197.4	20.8
183.8	25.5
198.4	23.5
53.9	50.7
210.6	16.7
259	27.6
262.7	63.7
261.4	52.5
253.2	43.1
190.6	25.6
295.8	49.3
310.2	48.7
116.9	37.3
350.8	44.8
127	11.9
309.9	62.2
6.6	53.8
191.5	70.8
207.8	74.6
201.6	23.7
205.6	73.1
218.2	69.9
313.2	41.9
2	82
334.1	64.4
337.3	65.1
309.5	51.3
349.5	88.2
335.8	65.2
330.3	52.6
241.1	47
347	49.9
6.5	81.6
322.3	36.3
154.3	48.4
336	73
10.6	67.1
268.7	38.1
328.4	71.7
310.2	51.5
295.8	50.7
43.7	67.3
4.7	86.7
125.5	20.7
207.2	23.4
316.6	43.2
9.2	71.8
250.3	55.1
313.5	54.8
266.4	22
298.3	41.5
235.3	53.9
332.1	39.5
264.7	57.5
237.1	52.6
296.9	24.1
342	17.4
318.5	27.6
192.8	38.9
28.6	57.5
207.6	23.1
220.6	14.4
25	35.3
208.9	22.9
207	76.5
269.5	40.8
331.9	43.7
213.5	86
23.2	45.4
323.9	47.4
317.4	57.8
271.2	28.5
316.6	36.5
224.4	70.1
334	35.2
334.5	59.3
347.2	52.9
311.3	42.1
344.1	11.4
304.3	18.2
310.8	57.4
231.6	46.9
5.3	45.1
353.1	16
317.8	24.4
225.3	26.2
222.7	15.8
149.3	24.3
317.9	47.7
324.8	52.1
196.8	83.6
274.5	29.7
294.2	40.9
277.4	80.3
254.3	48
8.6	20.6
246	63.9
269	59.6
296.9	17.3
18.3	4.6
252.9	60.5
32.3	84.5
15	71
217.8	90
188.2	75.8
261.3	34.1
295.1	28.9
350.7	60.9
17.8	85.8
184	75.3
140.6	85.8
281.1	35.1
242	26.9
289.9	63.8
233.4	14.6
358.7	69.9
242.4	31.4
311.1	45.3
126.1	71.1
227.7	82
331.9	65.4
339.4	26.8
147.8	83.2
306.8	22.8
136.1	63.3
322.9	53.4
338.3	33.4
352.2	65.4
330.6	28
352.6	16.1
325.1	49.5
177.7	20.6
241	57.5
17.4	70.9
297.7	66.4
333.7	32.8
11.6	55.5
19.7	75.5
327.9	52.8
7.8	80.6
2.9	62.9
174.9	23.4
186.3	22.9
43.6	22.2
280.3	78.7
284.3	27.1
295.2	13
213.8	33.9
37	31
310.2	42.6
188.3	36.6
24.7	58.8
267.9	37.1
352.4	30.7
329.4	14
21	84.1
292.1	30.6
79.2	4.7
261.9	20.8
135.5	53.9
344.7	42.9
347	37.1
340	47.7
245.6	49.9
335.8	79.1
110.1	16
29.6	51.4
225.2	83.3
330.3	6.9
273.7	5.1
177	54.2
322.7	16.3
309.3	44.6
157.2	19.5
329.4	85.1
28.9	83.2
14.7	56.8
337.5	35.2
338.6	46.3
231.3	78.4
95.3	82.2
242.9	19.3
350.8	35.1
249.1	64.9
357.7	50.1
330.7	29.2
231.6	53.7
23	76
7.5	59.3
286.9	31.3
247.7	41
149	72.1
75.6	88.2
47.8	71.6
126.3	77.7
32.4	87.5
2.1	82.3
97.6	77
325.7	36.7
316.3	48.7
74.2	40.1
341.7	57.6
298	41.3
322.9	80.9
271.9	56.3
260.7	69.3
342	35.5
237.3	76.4
31.5	61.3
146.5	33
348.6	35.5
287.1	34
229	51.2
315.1	12.1
330	24.9
331.8	53
198.4	34.5
138.7	43.7
331.6	30.6
25.6	74.9
107.2	12.1
44.2	70.7
329.6	50.7
75.2	28.2
336.1	13.6
209.4	71.7
328	36.5
321.1	39.6
107.7	12.9
205.7	80.3
0.2	44.8
218.1	43.5
282.8	42.4
290.2	10.8
322.9	17.5
211.5	23.2
161.9	26.4
295.6	58.1
246.7	32.7
214.2	87.2
328.2	28.5
234.9	58.7
